               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064879,            0.016209,                   0,             0.37764,             0.46615,             0.34131,             0.06324,             0.10232,            0.013655,                   0,              0.0033,              0.0033,              0.0703
                   1,            0.048686,            0.010102,                   0,             0.61354,             0.61719,             0.52033,             0.11035,            0.069506,           0.0085377,                   0,           0.0064144,           0.0064144,            0.040081
                   2,             0.04854,           0.0095724,                   0,             0.38948,             0.58479,             0.46631,             0.13967,             0.05736,             0.01388,                   0,           0.0093089,           0.0093089,           0.0096422
                   3,            0.044051,            0.008637,                   0,             0.97695,             0.99354,             0.99395,             0.49308,            0.033871,           0.0057177,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.039525,           0.0077048,                   0,             0.98452,             0.98438,             0.99189,             0.55803,            0.036401,           0.0063924,                   0,             0.00901,             0.00901,             0.00901
                   5,              0.0368,           0.0075488,                   0,             0.97938,             0.98698,             0.98849,             0.51255,            0.033573,           0.0055559,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.036098,            0.007342,                   0,             0.97894,                   1,              0.9941,             0.62793,            0.029321,           0.0053356,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.034986,            0.007259,                   0,              0.9897,                   1,             0.99444,             0.59405,            0.029047,           0.0053563,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.031387,           0.0068715,                   0,             0.98712,             0.99756,             0.99447,              0.6318,            0.028398,           0.0049325,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.031686,           0.0066952,                   0,             0.99121,              0.9974,             0.99466,             0.57581,            0.030099,           0.0057407,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.029949,           0.0067015,                   0,             0.99479,             0.99494,               0.995,             0.61726,            0.026575,           0.0048631,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.029646,           0.0066733,                   0,             0.99528,              0.9974,             0.99411,             0.63176,            0.026883,           0.0047949,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.029465,           0.0065197,                   0,             0.98737,                   1,             0.99482,             0.63033,            0.026546,           0.0048183,                   0,             0.00637,             0.00637,             0.00637
                  13,             0.02936,           0.0065283,                   0,             0.99542,             0.99479,             0.99497,             0.66932,            0.023809,           0.0045814,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.027953,            0.006237,                   0,             0.98457,             0.99713,             0.99482,             0.59783,            0.028597,           0.0048129,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.028743,            0.006289,                   0,             0.99463,             0.99479,             0.99341,             0.62029,            0.026802,           0.0046857,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.028247,           0.0060248,                   0,             0.99426,             0.99219,             0.99487,              0.6765,            0.023567,           0.0043866,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.026949,           0.0060322,                   0,             0.99193,                   1,             0.99469,             0.64058,            0.024938,           0.0043242,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.026254,           0.0060669,                   0,             0.99657,                   1,               0.995,             0.65237,            0.023824,           0.0042955,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.026788,           0.0060606,                   0,             0.99914,             0.99479,               0.995,             0.66691,            0.024235,           0.0043283,                   0,             0.00406,             0.00406,             0.00406
                  20,             0.02583,           0.0059529,                   0,             0.99905,              0.9974,               0.995,             0.67014,            0.024906,             0.00432,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.025487,           0.0059056,                   0,             0.99456,                   1,             0.99497,             0.64955,            0.023584,           0.0042575,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.024919,           0.0059049,                   0,              0.9941,                   1,             0.99495,              0.6816,            0.022296,           0.0041916,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.024107,           0.0057295,                   0,             0.99468,                   1,             0.99495,             0.68874,             0.02274,           0.0041742,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.024732,           0.0057315,                   0,             0.99482,             0.99964,             0.99484,             0.68661,            0.022127,           0.0040393,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.024388,           0.0055205,                   0,             0.99399,                   1,               0.995,             0.66397,            0.022946,           0.0040964,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.023781,           0.0056782,                   0,             0.99696,                   1,               0.995,             0.69098,            0.022423,           0.0041166,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.023752,           0.0054157,                   0,             0.99487,                   1,               0.995,             0.69663,            0.021474,           0.0039755,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.023166,           0.0054822,                   0,             0.99665,                   1,             0.99432,             0.71034,            0.021811,           0.0039782,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.023243,           0.0053873,                   0,             0.99619,                   1,             0.99461,             0.70781,            0.021298,           0.0039593,                   0,             0.00076,             0.00076,             0.00076
